Company Name,Address,City,State,Contact Person,Phone No,Mob No,Service Detail,Supplier or Booking,LCV or HCV,Email Id,Website,Vehicle Type,Segment
Adish Goods Transport Co.,"G-21, Vardman City Centre, Shindora kala Delhi-52",Delhi,Delhi,Avinash Jain,"011 - 2*6**71* ,  2*6*4*0*",9*10024960,All Over India,Supplier,"HCV, LCV",,,"1109,  407 Ton",All Type Material
Adishakti Transport Company,"F-8, Roshanara Plaza Road, Delhi - 7",Delhi,Delhi,Govind Khangawal,011 - *2*9*12*,"9*1*704*14 ,  9*11704*14,  96*4*74*14",Full Load Booking All Over India,Booking,"HCV, LCV",*tclogi*tic@gm*il.com,www.adishaktitransportcompany.com,"Trailer,  Container","Industrial Goods,  Machinery"
ADR India Pvt. ltd. (Logistic),"167, Amritpuri B , Chaman Plaza, Ground Floor, East Of Kailash, New Delhi - 65",Delhi,Delhi,Sushil Agarwal,011 - *262112*,9*111**261,Full Load Booking All Over India,Booking,"HCV, LCV",*u*hil*g*rw*l1961@y*hoo.com,,"Trailer,  Container",Industrial Goods
Advance Roadways,"C- 19 / A, Vishwakarma Colony, M. B. Road, New Delhi",Delhi,Delhi,D.R. Yadav,,"9*11007*21,  9212007*21,  9*1*00*22*,  9*1229*044",All Over India,"Supplier, Booking",HCV,*dv*ncer*odw*y*@gm*il.com,,,
Advance Transport Service,"43/B, Plaza, Sidharth Insten, New Delhi- 44",Delhi,Delhi,N.K. Sethi,011 - 26*4072*,9**0*02*77,All Over India,Booking,"HCV, LCV",*dv*ncetr*n*port@hotm*il.com,,Trailer,Industrial Goods
Afferia Goods Transport Co.,"Plot No. 1230, TIkkri Border, PVC Market Road, Delhi",Delhi,Delhi,Sanjay Yadav,,"*010297791,  921***21*4,  9*1**47791","Daily Services : Jaipur, Bhiwadi, Jaipur, Jodhpur, Kota, Udypur, Ajmer All Over Rajasthan",Booking,LCV,,,"1109,  407 Ton",All Type Material
Aganpal Goods Carrier,"3D-16, Budh Vihar, Near Sibbal Cinema, Badarpur, New Delhi",Delhi,Delhi,Om Parkash,"011 - 269972*2 / *4,  6*4*74*2,  269972*4","9*11107117,  9*11107117",All Over Calcutta,Supplier,LCV,,,"1109,  407,  Canter",House Hold Goods
Agardoot Roadways / Shivam Roadline,"26A, Shayam Enclave, U.P., Border, P.O., Chikamberpur",Delhi,Delhi,"Mahavir Parsad Goyal, Amit Goyal",,"9*102***0*,  9*102***0*","Full Truck Load Booking All Over Assam, Bengal","Supplier, Booking",,*grdhootro*dw*y*@gm*il.com,,Container,All Type Material
Agarwal Transoport Organisation,"5, Transport Center, Rohtak Road, Punjabi Bagh, Delhi",Delhi,Delhi,Baluram,"011 - 2**1*0*0 ,  2**1*0*2 ,  2**1*0*1",9*110712**,Full Load Booking For All Over India,Booking,HCV,*g*rw*lr*n*portorg@rediffm*il.com,,,
Agarwal Transport Co.,"7th Mile Stone, Giani Border, Opp., Bharat Dharam Kanta, Chikamberpur, Ghaziabad",Delhi,Delhi,Kamal Aggrawal,0120 - 4124672,"9*10092000 ,  9*11*2*261",Full Load Booking All Over India,Booking,"HCV, LCV",,,10 Wheeler,"Food,  Sugar"
